team_placement,player_dist_walk,player_dmg,player_dist_ride,player_survive_time,game_size,party_size,player_kills
1,4039.86865,10,774.2523,31.0,24,4,1
1,5089.293,305,3577.50635,30.0,26,4,4
1,3572.51123,119,584.521851,30.0,26,4,2
1,3357.70337,149,3606.18,29.0,30,4,1
1,3735.8877,456,3386.87646,29.0,30,4,1
1,3271.49658,3,5223.09961,29.0,30,4,0
1,4712.513,25,4694.056,27.0,24,4,0
1,1448.07471,52,7256.2930000000015,30.0,17,4,0
1,3170.43,93,6797.79248,27.0,24,4,1
1,3248.7854,8,5227.305,27.0,24,4,0
1,113.6723,120,0.0,32.0,29,4,1
1,878.960754,0,5012.377,32.0,29,4,0
1,3241.9709999999995,889,4945.2,32.0,29,4,8
1,4334.437,202,784.3525,31.0,24,4,1
1,4269.362,1413,940.284241,31.0,24,4,13
1,2910.39624,167,6227.72168,27.0,24,4,2
1,3179.91528,465,3280.44458,32.0,25,4,8
1,4470.111,272,0.0,30.0,29,4,1
1,4635.05225,327,0.0,30.0,29,4,3
1,2559.06714,185,4036.2124,31.0,27,4,1
1,1981.448,153,3176.17114,31.0,27,4,3
1,2154.51587,443,1990.90381,31.0,27,4,6
1,6886.3222700000015,29,2127.15015,31.0,27,4,0
1,2175.63574,436,4005.28027,31.0,27,4,3
1,2458.4917,122,4788.63135,31.0,27,4,1
1,2697.83252,641,5000.0329999999985,31.0,27,4,6
1,1891.42529,160,5734.556,31.0,27,4,2
1,16.4099312,0,0.0,30.0,22,4,0
1,110.3073,0,0.0,30.0,22,4,0
1,152.797943,0,0.0,2.0,22,4,0
1,4218.697,2415,0.0,30.0,22,4,17
1,3316.759,154,7101.5073200000015,31.0,28,4,2
1,2936.32837,97,6743.542,31.0,28,4,0
1,2934.728,331,8771.676,31.0,28,4,4
1,3315.63525,1972,1322.11377,30.0,27,4,16
1,952.563965,77,0.0,30.0,27,4,0
1,985.5134,0,3085.12134,32.0,28,4,0
1,879.7709,228,2805.35,32.0,28,4,1
1,1706.69568,920,5855.79443,32.0,28,4,8
1,1174.60693,151,2806.61938,32.0,28,4,2
1,2736.21582,129,4810.476,31.0,25,4,1
1,3172.27148,0,4636.34668,31.0,25,4,0
1,4560.9707,206,0.0,30.0,29,4,1
1,2540.16,72,4885.978,31.0,25,4,2
1,2331.88257,98,1802.66138,30.0,28,4,2
1,2274.7666,0,1494.91406,30.0,28,4,0
1,2856.1123,345,455.401245,32.0,27,4,0
1,2367.636,802,193.280777,32.0,27,4,9
1,1995.79187,305,855.762268,32.0,27,4,2
1,3333.60474,532,1324.90051,30.0,27,4,6
1,2176.4624,0,1736.9151600000002,30.0,28,4,0
1,4260.30859,201,2124.164,32.0,25,4,2
1,15.6274166,0,0.0,1.0,25,4,0
1,3752.21655,378,5078.835,30.0,27,4,3
1,2658.80249,785,6252.15,30.0,28,4,7
1,2974.3,292,3026.57886,30.0,29,4,0
1,2821.52148,358,2021.68152,30.0,29,4,5
1,2897.396,154,2188.84521,30.0,29,4,0
1,2981.74878,411,2860.47681,30.0,28,4,3
1,3144.36743,489,3707.402,31.0,28,4,4
1,2169.2114300000007,131,4780.45459,31.0,28,4,1
1,4199.77734,262,1842.55066,31.0,28,4,2
1,2809.058,59,5802.393,31.0,28,4,0
1,2853.68335,80,1229.56885,29.0,27,4,1
1,2508.84985,390,2018.75073,29.0,27,4,4
1,2863.81665,197,1984.25122,29.0,27,4,1
1,3521.4590000000007,1574,1608.5673800000004,29.0,27,4,13
1,1918.476,100,4184.5874,31.0,29,4,1
1,1385.4552,45,4287.926,31.0,29,4,0
1,1691.53064,134,4421.85449,31.0,29,4,1
1,4083.10645,112,0.0,31.0,25,4,1
1,3783.59839,75,3551.58276,29.0,27,4,1
1,3843.191,687,3670.14917,29.0,27,4,8
